CUST_GROUP,CUST_NAME,COUNTRY_NAME,SALES_REP,TEAM,FOCUS
The Firelands Company,The Firelands Company,UNITED STATES OF AMERICA,Kelli M.,Americas,false
THE FLAVOR FACTORY,THE FLAVOR FACTORY,UNITED STATES OF AMERICA,Kelli M.,Americas,false
THE FOOD SOURCE INTERNATIONAL,THE FOOD SOURCE INTERNATIONAL,UNITED STATES OF AMERICA,Kelli M.,Americas,false
THE GOLDENROD,THE GOLDENROD,UNITED STATES OF AMERICA,Kelli M.,Americas,false
THE GOVERNMENT PHARMACEUTICAL,THE GOVERNMENT PHARMACEUTICAL,THAILAND,Kanda W.,SEA,false
THE IBN SINA PHARMACEUTICAL,THE IBN SINA PHARMACEUTICAL,BANGLADESH,Sanjay C.,IMEA,false
The IBN Sina Pharmaceutical Industry Ltd,The IBN Sina Pharmaceutical Industry Ltd,BANGLADESH,Sanjay C.,IMEA,false
THE LEBERMUTH COMPANY INC.,THE LEBERMUTH COMPANY INC.,UNITED STATES OF AMERICA,Danielle J.,Americas,false
The Naked Collective (US) Ltd.,The Naked Collective (US) Ltd.,UNITED STATES OF AMERICA,Kelli M.,Americas,false
The Naked Collective Ltd.,The Naked Collective Ltd.,Ireland,Kelli M.,Americas,false
The Proper Cannabis Co Ltd,The Proper Cannabis Co Ltd,CANADA,Kelli M.,Americas,false
THERANEXUS,THERANEXUS,FRANCE,Florian M.,Europe,false
TIANFENG(MAOMING)BIOTECHNOLOGY,TIANFENG(MAOMING)BIOTECHNOLOGY,CHINA,Haibin Y.,China/Japan,false
TIANJIN YIHETAI BIOTECHNOLOGY,TIANJIN YIHETAI BIOTECHNOLOGY,CHINA,Haibin Y.,China/Japan,false
TIANJIN YUANPENG BIOTECHNOLOGY CO.LTD,TIANJIN YUANPENG BIOTECHNOLOGY CO.LTD,CHINA,Haibin Y.,China/Japan,false
TIANSHENG,JIANGSU TIANSHENG,CHINA,Sissic H.,China/Japan,true
TIANSHENG,Jiangsu Tiansheng Pharmaceutic,CHINA,Sissic H.,China/Japan,true
TISHCON CORP.,TISHCON CORP.,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TKS CO-PACK MANUFACTURING,TKS CO-PACK MANUFACTURING,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TOKIWA,"TOKIWA PHYTOCHEMICAL CO., LTD.",JAPAN,Lynn S.,China/Japan,true
TOMS,TOMS GRUPPEN A/S,DENMARK,Gwenn B.,Europe,false
TOP TOBACCO COMPANY,TOP TOBACCO COMPANY,UNITED STATES OF AMERICA,Jeff R.,Americas,false
"TOPIDERM, INC.","TOPIDERM, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
Total Food Package,Total Food Package,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TPB SPECIALTY FINANCE LLC,TPB SPECIALTY FINANCE LLC,UNITED STATES OF AMERICA,Danielle J.,Americas,true
TRILLIUM HEALTH CARE PRODUCTS INC.,TRILLIUM HEALTH CARE PRODUCTS INC.,CANADA,Danielle J.,Americas,true
