database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-,TransformOneToOne,FINISHED GOODS - MAG,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-2010,TransformOneToOne,MAG PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-2011,TransformOneToOne,MAG USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-2012,TransformOneToOne,MAG ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-2013,TransformOneToOne,MAG OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12701-2014,TransformOneToOne,MAG SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-,TransformOneToOne,FINISHED GOODS-LIC E,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-2010,TransformOneToOne,FG-LIC EXT PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-2011,TransformOneToOne,FG-LIC EXT USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-2012,TransformOneToOne,FG-LIC EXT ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-2013,TransformOneToOne,FG-LIC EXT OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12702-2014,TransformOneToOne,FG-LIC EXT SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12703-2010,TransformOneToOne,GYE/R21 PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12703-2011,TransformOneToOne,GYE/R21 USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12703-2012,TransformOneToOne,GYE/R21 ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12703-2013,TransformOneToOne,GYE/R21 OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12703-2014,TransformOneToOne,GYE/R21 SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12706-,TransformOneToOne,RESERVE-CONSIGNED PR,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12750-,TransformOneToOne,PHYSICAL INV. RESERV,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12803-,TransformOneToOne,IT INVENTORY,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12806-,TransformOneToOne,INVENTORY ABSORPTION,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12901-,TransformOneToOne,WORK IN PROCESS INVE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12901-0001,TransformOneToOne,WORK IN PROCESS TOLL,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-13001-1,TransformOneToOne,ADVANCED PMT-EXPENSE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-13001-30,TransformOneToOne,PREPAID EXPENSE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-15902-,TransformOneToOne,EASY WORN ITEMS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16102-,TransformOneToOne,FIXED ASSETS - BUILD,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16108-,TransformOneToOne,FIXED ASSETS-WASTEWA,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16300-,TransformOneToOne,FIXED ASSETS CGA PRO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16302-,TransformOneToOne,FIXED ASSETS MAG PRO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16303-,TransformOneToOne,FIXED ASSETS OTHER P,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16304-,TransformOneToOne,FIXED ASSETS LAB EQU,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16305-,TransformOneToOne,FIXED ASSETS OFFICE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16306-,TransformOneToOne,FIXED ASSETS IDLE AS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16307-,TransformOneToOne,FIXED ASSETS LAND RI,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16308-,TransformOneToOne,FIXED ASSETS-CAR,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16501-,TransformOneToOne,CUMULATIVE DEPRECIAT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16502-,TransformOneToOne,LAND RIGHT DEPRECIAT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16601-,TransformOneToOne,RESERVE FOR FIXED AS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-16901-,TransformOneToOne,CONSTRUCTION IN PROC,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-17101-,TransformOneToOne,INTANGIBLE ASSETS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-17102-,TransformOneToOne,INTANG-LAND RIGHTS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-17104-,TransformOneToOne,INTANGIBLE ASST. AMO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20101-,TransformOneToOne,SHORT TERM BORROW,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20102-,TransformOneToOne,INTERESTS PAYABLE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20301-,TransformOneToOne,A/P THIRD PARTY,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20301-0001,TransformOneToOne,A/P-JV INTERCO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20301-0002,TransformOneToOne,A/P-MAF INTERCO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20301-0004,TransformOneToOne,PAYABLE S/L-TOLL PRO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20301-0006,TransformOneToOne,A/P-EVD,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20302-,TransformOneToOne,A/P-OTHER,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20304-,TransformOneToOne,OTHER PAYABLES HOUSI,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20311-4,TransformOneToOne,OTHER PAYABLES-EMPLO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20401-,TransformOneToOne,ADVANCE FM WEI FENG,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20401-1,TransformOneToOne,ADVANCE PMT FM MAFCO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20401-3,TransformOneToOne,ADV PMT FM EVD,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20401-4,TransformOneToOne,ADV PMT FM 3RD PARTY,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20501-,TransformOneToOne,ACCT PAYABLE ACCURAL,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20701-,TransformOneToOne,LTM PAYABLE-SAFETY A,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-20702-,TransformOneToOne,LTM PAYABLE-SAFETY U,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21101-,TransformOneToOne,ACCURED PAYROLL,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21102-,TransformOneToOne,ACCURED BONUS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21103-,TransformOneToOne,ACCRUED FREIGHT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21201-,TransformOneToOne,ACCRUED EXPENSE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21202-,TransformOneToOne,ACCRUED VAT -TRUE UP,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21401-,TransformOneToOne,ACCURED WELFARE FUND,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-21403-,TransformOneToOne,ACCURED WELFARE-HOUS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22101-,TransformOneToOne,STAMP TAX PAYABLE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22101-0001,TransformOneToOne,URBAN TAX PAYABLE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22102-,TransformOneToOne,TAX PAYABLE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22102-0001,TransformOneToOne,INPUT VAT TURN OUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22102-0002,TransformOneToOne,VAT RETURN FOR EXPOR,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22102-0003,TransformOneToOne,OUTPUT VAT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22102-0004,TransformOneToOne,PAID VAT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22103-,TransformOneToOne,VAT SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22104-,TransformOneToOne,PERSONAL INCOME TAX,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-22107-,TransformOneToOne,INCOME TAX PAYABLES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-24101-,TransformOneToOne,LONG TERM BORROWINGS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-30101-,TransformOneToOne,CAPITAL CONTRIBUTION,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-31101-,TransformOneToOne,CAPITAL CUMULATION F,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-31301-,TransformOneToOne,Retained Earnings,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-31501-,TransformOneToOne,Statutory Surplus Re,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-32201-,TransformOneToOne,UNDISTRIBUTE PROFIT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-40301-,TransformOneToOne,FREIGHT OUT,MZC61170,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-40302-,TransformOneToOne,MISC - INV. REVENUE,MZC61170,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-40303-,TransformOneToOne,FREIGHT IN,MZC61170,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-40304-,TransformOneToOne,Product Samples,MZC72400,false,
