database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-2014,TransformOneToOne,INTERM PROD FG SALES,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-,TransformOneToOne,FINISHED GOODS - MAG,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-2010,TransformOneToOne,MAG PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-2011,TransformOneToOne,MAG USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-2012,TransformOneToOne,MAG ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-2013,TransformOneToOne,MAG OUTPUT,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12701-2014,TransformOneToOne,MAG SALES,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-,TransformOneToOne,FINISHED GOODS-LIC E,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-2010,TransformOneToOne,FG-LIC EXT PURCHASE,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-2011,TransformOneToOne,FG-LIC EXT USAGE,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-2012,TransformOneToOne,FG-LIC EXT ADJUST,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-2013,TransformOneToOne,FG-LIC EXT OUTPUT,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12702-2014,TransformOneToOne,FG-LIC EXT SALES,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12703-2010,TransformOneToOne,GYE/R21 PURCHASE,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12703-2011,TransformOneToOne,GYE/R21 USAGE,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12703-2012,TransformOneToOne,GYE/R21 ADJUST,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12703-2013,TransformOneToOne,GYE/R21 OUTPUT,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12703-2014,TransformOneToOne,GYE/R21 SALES,1201400,false,
